,address,price
330,514 emmet street,800.0
333,1245 astor avenue,1590.0
334,2960 birch hollow dr,1209.0
335,2960 birch hollow dr,1029.0
337,213 w. mosley apartment 11,1285.0
338,1020 lincoln ave.,1890.0
339,1020 lincoln ave.,1190.0
340,211 n. ashley,2500.0
341,428 ventura ct.,1575.0
342,2201 glencoe hills,1529.0
355,2960 birch hollow dr,1209.0
359,2960 birch hollow dr,1009.0
360,1005 maiden lane,1499.0
362,1550 brookfield,1579.0
364,3089 woodland hills dr,959.0
373,3089 woodland hills dr,1249.0
374,3089 woodland hills dr,939.0
375,1355 s. winter st.,830.0
376,2911 bynan dr.,989.0
377,1984 traver rd,1229.0
379,1980 pauline boulevard,1189.0
382,1550 brookfield,1579.0
383,1980 pauline boulevard,1149.0
385,140 lauff drive,1030.0
386,3050 birch hollow dr,1150.0
387,2960 international drive,969.0
390,1980 pauline boulevard,1189.0
391,101 lake village,2251.0
392,2911 bynan,899.0
394,1550 brookfield,1549.0
395,11551 quirk rd,1095.0
396,2201 glencoe hills,2179.0
398,2201 glencoe hills,1529.0
399,2201 glencoe hills,1149.0
402,1505 natalie lane,1215.0
404,3100 s. winter st.,835.0
405,1315 oak valley drive,1420.0
406,11551 quirk rd,865.0
407,3089 woodland hills dr,939.0
409,4685 hunt club dr.,1250.0
410,11551 quirk rd,1210.0
411,554 s 5th ave,1499.0
413,525 fairbrook,900.0
414,3089 woodland hills dr,1249.0
415,2345 woodridge way,1109.0
418,1700 s west ave,855.0
419,2045 commerce blvd,1049.0
420,2045 commerce blvd,1049.0
421,2045 commerce blvd,1049.0
422,1005 maiden lane,1499.0
423,1005 maiden lane,1499.0
424,2345 woodridge way,919.0
426,3089 woodland hills dr,939.0
427,2501 keystone ln,840.0
428,2501 keystone ln,840.0
429,1005 maiden lane,1359.0
430,518 e william st,3795.0
431,2501 keystone ln,1065.0
432,2501 keystone ln,1065.0
433,3050 birch hollow dr,1150.0
436,1980 pauline boulevard,1149.0
437,1519 abbott,1650.0
443,2345 woodridge way,1109.0
446,600 hidden valley club drive,1110.0
448,727 e kingsley st,1645.0
449,275 harbor way,1499.0
452,955 sumpter road,1100.0
454,1505 natalie lane,1380.0
455,1984 traver rd,1229.0
456,101 lake village,1952.0
460,2820 windwood,1644.0
465,2960 birch hollow dr,1209.0
466,518 e william st,1825.0
467,2835 roundtree blvd,959.0
469,1550 brookfield,1579.0
471,3050 birch hollow dr,1210.0
472,1632 laurel bay drive,770.0
474,727 e kingsley st,1795.0
475,2960 international drive,989.0
477,2976 cascade drive,1155.0
480,3089 woodland hills dr,1249.0
483,3050 birch hollow dr,1150.0
484,125 west hoover avenue,1030.0
488,727 e kingsley st,1645.0
492,2960 international dr.,1019.0
494,2960 international drive,839.0
495,275 harbor way,1399.0
498,3089 woodland hills dr,1249.0
499,212 stevens drive,938.0
502,518 e william st,3495.0
503,1505 natalie lane,1320.0
504,2911 bynan dr.,899.0
506,2911 bynan dr,839.0
507,1984 traver rd,1379.0
508,518 e william st,3495.0
510,22250 swan road,895.0
513,9935 macon,650.0
515,1980 pauline boulevard,1249.0
516,3089 woodland hills dr,939.0
517,2960 international drive,989.0
518,1315 oak valley dr,1285.0
523,205 s state st,2245.0
525,22250 swan road,810.0
529,3998 audrey rae lane,1225.0
531,1550 brookfield,1499.0
532,2960 international drive,899.0
533,275 harbor way,1499.0
534,1550 brookfield dr,1359.0
535,3998 audrey rae lane,1165.0
536,3998 audrey rae ln.,1200.0
537,3998 audrey rae lane,1165.0
538,3998 audrey rae lane,1165.0
539,3998 audrey rae lane,1165.0
540,600 hidden valley club drive,1450.0
542,519 snyder avenue,99.0
543,4770 downing drive,99.0
544,2911 bynan,859.0
546,2120 churchill drive,199.0
547,727 e kingsley st,1795.0
548,2225 s state street,2059.0
550,3400 nixon rd,2731.0
552,1082 e chicago blvd,885.0
553,2960 international drive,989.0
554,3400 nixon rd,2003.0
555,1417 broadway #1,3100.0
556,1006 pontiac trail #1,1500.0
557,1427 broadway,3000.0
558,3400 nixon rd,1903.0
559,212 stevens dr,838.0
560,525 w. highland rd,921.0
561,2960 international dr.,1019.0
562,212 stevens dr,918.0
563,3400 nixon rd,1626.0
564,2960 international dr.,819.0
566,3050 birch hollow dr,1150.0
568,12 miles,1195.0
569,27883 independence st,1090.0
571,3400 nixon rd,1501.0
572,275 harbor way,1499.0
577,3400 nixon rd,1486.0
581,1014 church st,1695.0
582,1863 collins ct,999.0
586,1980 pauline boulevard,1149.0
588,309 washtenaw,1050.0
590,518 e william st,1740.0
592,1837 davis st,999.0
593,2960 international,999.0
594,3050 birch hollow dr,975.0
595,1315 oak valley drive,1340.0
596,3998 audrey rae ln.,1165.0
597,3998 audrey rae ln.,1200.0
598,3050 birch hollow dr,1210.0
599,1100 hunters run dr,1799.0
600,2044 mcdivitt ct,1364.0
605,101 lake village,1560.0
607,1840 collins ct,999.0
608,140 lauff,970.0
609,508 hill st,1325.0
611,2001 huron parkway,1150.0
619,275 harbor way,1499.0
620,553 s 4th ave,1145.0
622,275 harbor way,1399.0
623,1245 astor ave,1590.0
624,527 s 4th ave,1845.0
625,311 jarvis,810.0
627,3265 boardwalk drive,1410.0
629,2960 birch hollow dr,1179.0
630,2960 birch hollow dr,1209.0
634,1072 rambling road,1495.0
635,1184 lexington pkwy,1425.0
636,1061 centennial ave.,1895.0
637,741 dorset ave,1295.0
640,2756 s knightsbridge circle,1600.0
650,955 sumpter road,1100.0
652,2310 pinecrest,1700.0
655,507 n hamilton,1300.0
656,2911 bynan,939.0
658,954 w cross,995.0
659,2820 windwood,1644.0
661,2820 windwood,1644.0
662,2960 birch hollow dr,1319.0
664,22250 swan rd,774.0
665,2960 birch hollow dr,1009.0
666,1550 brookfield,1579.0
667,1550 brookfield,1579.0
668,3050 birch hollow dr,1250.0
670,1984 traver rd,1379.0
674,607 n. river st.,1300.0
684,3089 woodland hills dr,939.0
686,600 hidden valley club drive,1260.0
688,908 sybil st,1595.0
690,2001 huron parkway,1145.0
691,2930 roundtree blvd.,939.0
694,2960 international drive,889.0
695,2201 glencoe hills,1099.0
702,518 e william st,3295.0
705,140 lauff drive,1030.0
706,1980 pauline boulevard,1149.0
708,2501 keystone ln,1040.0
709,2501 keystone ln,1040.0
710,2001 huron parkway,1150.0
711,1550 brookfield,1549.0
712,2501 keystone ln,840.0
713,2001 huron parkway,1195.0
714,2501 keystone ln,840.0
716,1103 s latson rd,995.0
718,1103 s latson rd,995.0
720,1984 traver rd,1229.0
722,213 s. 4th ave,2395.0
725,212 stevens dr,918.0
726,27883 independence st,825.0
727,3089 woodland hills dr,1249.0
728,212 stevens dr,918.0
729,212 stevens dr,818.0
730,212 stevens dr,818.0
731,212 stevens dr,918.0
732,212 stevens dr,918.0
734,275 harbor way,1885.0
736,518 e william st,2395.0
737,321 williamsen dr,1070.0
738,2960 international drive,989.0
741,2020 arbor circle east,1449.0
742,2020 arbor circle east,1229.0
743,2020 arbor circle east,1099.0
745,2020 arbor circle east,1099.0
747,2020 arbor circle east,1229.0
748,459 village green blvd,1347.0
749,525 west highland rd,1004.0
750,2020 arbor circle east,1049.0
751,1005 maiden lane,1499.0
752,1005 maiden lane,1359.0
755,2020 arbor circle east,1229.0
756,553 s 4th ave,1145.0
757,275 harbor way,1449.0
764,2835 roundtree blvd,1039.0
766,2835 roundtree blvd,939.0
767,2835 roundtree blvd,939.0
769,2835 roundtree blvd,1079.0
770,2835 roundtree blvd,1039.0
771,2835 roundtree blvd,939.0
772,2835 roundtree blvd,1039.0
774,5800 benson dr,817.0
775,3089 woodland hills dr,959.0
776,1984 traver rd,1379.0
777,5800 benson dr,992.0
778,2835 roundtree blvd,959.0
779,205 perrin,750.0
780,603 e. huron street,1979.0
782,520 n ashley st,1395.0
783,603 e. huron street,999.0
784,603 e. huron street,1049.0
790,2960 international drive,899.0
792,518 e william st,3295.0
798,518 e william st,1670.0
799,1082 e. chicago blvd,885.0
800,27883 independence st,1090.0
803,2201 glencoe hills dr,2179.0
804,154 riley st,700.0
805,1082 e. chicago blvd,820.0
806,2911 bynan dr.,899.0
807,2201 glencoe hills drive,929.0
808,1505 natalie lane,1265.0
809,1751 cass lake front st,950.0
811,275 harbor way,1399.0
814,140 lauff drive,1040.0
817,201 e madison st,3345.0
818,2960 international drive,999.0
822,600 hidden valley club drive,1450.0
823,3998 audrey rae ln.,1165.0
824,3998 audrey rae ln.,1155.0
825,3998 audrey rae ln.,1165.0
826,4685 hunt club dr.,1100.0
829,1006 pontiac trail,1500.0
833,1863 collins ct.,999.0
839,309 e jefferson #2,4500.0
840,121 glen #2,4200.0
841,210 n 1st st,3200.0
