,address,price,Latitude,Longitude
180,3089 woodland hills dr,1249.0,36.210069,-115.286437
181,1550 brookfield,1579.0,39.27977922576034,-76.62626801204426
183,1980 pauline boulevard,1229.0,42.19403404081633,-83.48415716326531
188,2501 keystone ln,1065.0,42.599924944954125,-83.98879816513762
189,2501 keystone ln,1065.0,42.248894899999996,-83.74726903728029
190,2501 keystone ln,840.0,51.3471617,-0.0447794
191,1409 catalpa dr,1000.0,42.248894899999996,-83.74726903728029
193,2501 keystone ln,840.0,45.0018668,-93.2648453
194,2960 international drive,889.0,42.23897849959804,-83.71850497747207
195,527 virginia ave,2200.0,42.5795203,-74.5882017
196,3089 woodland hills dr,809.0,42.284972,-83.739668
200,221 normal,945.0,42.248894899999996,-83.74726903728029
202,414 s division st,1295.0,36.05600475642987,-80.29309482236044
203,275 harbor way,1885.0,36.05600475642987,-80.29309482236044
205,1082 e chicago blvd,885.0,36.303609376899054,-82.3516509491529
208,1984 traver rd,1469.0,42.238664,-83.721835
210,1245 astor ave,1480.0,NaN,NaN
211,221 normal,995.0,33.75550256375839,-117.85616506711409
212,2835 roundtree blvd,1039.0,33.75550256375839,-117.85616506711409
214,1550 brookfield,1609.0,42.278217847457626,-83.76639676271186
215,1751 cass lake front st,950.0,42.255379500000004,-83.6740488589607
216,27883 independence st,825.0,42.238664,-83.721835
217,2960 international dr.,1019.0,42.238664,-83.721835
219,3089 woodland hills dr,1249.0,54.9963808,-1.6279574
220,2960 international dr.,989.0,36.05600475642987,-80.29309482236044
221,2960 birch hollow dr,1209.0,36.05600475642987,-80.29309482236044
222,275 harbor way,1449.0,36.05600475642987,-80.29309482236044
223,1005 maiden lane,1299.0,41.877684,-84.03765
224,2960 international dr.,959.0,42.2575998,-83.6601296
225,2960 international,999.0,42.30154991677406,-83.72719734545764
226,600 hidden valley club drive,1110.0,42.26804544897959,-83.77355891836734
227,3100 s. winter st.,835.0,54.9963808,-1.6279574
228,1005 maiden lane,1359.0,42.26804544897959,-83.77355891836734
229,1005 maiden lane,1299.0,42.07834041735565,-83.69042561583056
230,140 lauff,980.0,42.23897849959804,-83.71850497747207
233,2960 international,989.0,41.30368816987742,-101.92617845313801
234,212 stevens drive,918.0,42.6764476,-83.2686571
235,212 stevens drive,918.0,54.9963808,-1.6279574
236,212 stevens drive,918.0,42.218558040816326,-83.49401977551021
237,3089 woodland hills dr,939.0,42.255379500000004,-83.6740488589607
238,1550 brookfield,1499.0,42.255379500000004,-83.6740488589607
240,2911 bynan,859.0,42.2939505433245,-83.6833615036768
242,101 lake village,1544.0,42.235222500000006,-83.7552779256812
244,3089 woodland hills dr,809.0,36.05600475642987,-80.29309482236044
245,527 s 4th ave,1295.0,39.9411721,-76.6646042
246,3089 woodland hills dr,1249.0,42.218558040816326,-83.49401977551021
247,1980 pauline boulevard,1249.0,40.6654575,-73.98953125
248,2820 windwood,1644.0,40.7271246,-77.9383368
253,212 stevens dr,918.0,39.090865,-108.5930554
257,1505 natalie ln,1265.0,43.488149117454306,-79.70706039187021
258,3089 woodland hills dr,1249.0,36.05600475642987,-80.29309482236044
259,275 harbor way,1499.0,42.262155,-83.779853
260,3089 woodland hills dr,959.0,42.262155,-83.779853
261,1771 plymouth road,2350.0,51.511027,-0.1222913
